bmi,bmi.papa,bmi.mama,edad.papa,edad.mama,edad
20.5,27.29999924,29.79999924,58.20000076,51.20000076,21.60000038
29.10000038,21.60000038,28.60000038,74.09999847,65.30000305,40.79999924
29.10000038,21.60000038,28.60000038,74.09999847,65.30000305,19.20000076
20.20000076,25.89999962,34.09999847,61.79999924,47.79999924,19.89999962
25.70000076,25.89999962,34.09999847,61.79999924,47.79999924,23.5
24,25.89999962,34.09999847,61.79999924,47.79999924,27.89999962
24.5,22.89999962,33,68.30000305,63.59999847,30.29999924
28.89999962,29,32.29999924,61.70000076,62.40000153,29.20000076
25.70000076,24.39999962,36.20000076,53.59999847,51.20000076,22.79999924
23.70000076,24.39999962,36.20000076,53.59999847,51.20000076,18.60000038
30.10000038,24.39999962,36.20000076,53.59999847,51.20000076,21.29999924
24.10000038,24.20000076,27.70000076,60.79999924,57.5,26.5
22.70000076,23.20000076,34.70000076,65.90000153,50,27.39999962
21.20000076,28,29.20000076,57.70000076,57.5,21.5
25.60000038,28,29.20000076,57.70000076,57.5,27.79999924
27.10000038,28,29.20000076,57.70000076,57.5,32.09999847
23.70000076,23.70000076,25,49.29999924,50.90000153,21.70000076
22.89999962,31.79999924,25.70000076,69.30000305,57.09999847,19.5
21.10000038,31.79999924,25.70000076,69.30000305,57.09999847,21.70000076
28.89999962,32.29999924,21.79999924,63.40000153,59.5,21.70000076
26.29999924,32.29999924,21.79999924,63.40000153,59.5,30.79999924
29,20.29999924,27.5,76.59999847,73.80000305,38.29999924
20.79999924,32.29999924,29.39999962,56.90000153,53.29999924,20.20000076
25.29999924,25.89999962,28.89999962,39.59999847,37.09999847,18.29999924
24.89999962,20.89999962,31.70000076,64.40000153,57.40000153,27.89999962
24.5,20.89999962,31.70000076,64.40000153,57.40000153,33.70000076
23,20.89999962,31.70000076,64.40000153,57.40000153,23.29999924
23.39999962,27.79999924,34.09999847,58.20000076,54.90000153,21.5
26.79999924,27.79999924,34.09999847,58.20000076,54.90000153,25.5
28.79999924,20.20000076,27.29999924,62.5,57.40000153,39.70000076
18.70000076,32.90000153,32.09999847,52.79999924,46.40000153,19.29999924
30.10000038,26,39.70000076,67,55.29999924,31.10000038
27.60000038,26,39.70000076,67,55.29999924,29.79999924
20.39999962,24.29999924,29.70000076,60.40000153,31.10000038,37.79999924
20.60000038,22.79999924,36,74.59999847,64.40000153,26.89999962
21,27,34.20000076,52.90000153,47,20.70000076
23.89999962,23.5,26.10000038,41.5,36.40000153,18
20.20000076,31.89999962,30.79999924,67.90000153,57,19.39999962
26.29999924,21.20000076,22.20000076,59.59999847,49.20000076,29.60000038
18.60000038,21.20000076,22.20000076,59.59999847,49.20000076,18.39999962
21.5,28.70000076,27.39999962,55.09999847,42.79999924,27.20000076
19.20000076,28.70000076,27.39999962,55.09999847,42.79999924,19.70000076
21.5,28.70000076,27.39999962,55.09999847,42.79999924,22
27.60000038,20.29999924,39.29999924,60.09999847,61.90000153,19.39999962
24.70000076,20.10000038,33,43.90000153,38.59999847,18.70000076
27.5,26.79999924,26,56.5,42.20000076,24.5
20.20000076,20.89999962,30.29999924,60.59999847,44.09999847,20.60000038
26.89999962,26.5,33.40000153,67.90000153,61.70000076,33.59999847
23.60000038,20,34.29999924,62.29999924,67.80000305,27.89999962
27.5,31.70000076,29.29999924,54.70000076,50.20000076,27.60000038
35.29999924,32.5,37.79999924,43.5,33.5,18.89999962
23.79999924,25.79999924,26.20000076,43.59999847,39.5,19.10000038
23.39999962,25.79999924,26.20000076,43.59999847,39.5,21.60000038
17.5,16.89999962,26,81.09999847,74.5,49.79999924
25.79999924,16.89999962,26,81.09999847,74.5,36
23.5,34.40000153,32.29999924,55.79999924,54,18
26.10000038,34.40000153,32.29999924,55.79999924,54,26
18.89999962,23.89999962,25,86.90000153,79.69999695,53.29999924
26.5,27.20000076,23.5,72.90000153,77.30000305,55.29999924
23.60000038,27.20000076,23.5,72.90000153,77.30000305,52.59999847
26.60000038,27.20000076,23.5,72.90000153,77.30000305,40.70000076
26.70000076,34.29999924,32.29999924,47.40000153,44.29999924,24.79999924
28.5,34.29999924,32.29999924,47.40000153,44.29999924,21.70000076
30.10000038,26.10000038,30,53.90000153,48,30.70000076
28.10000038,23.20000076,28.10000038,57,50.79999924,24.39999962
25.79999924,23.20000076,28.10000038,57,50.79999924,23
22.10000038,24,28.39999962,59.59999847,62.40000153,29.29999924
27.10000038,29.20000076,38.90000153,52.79999924,51.29999924,22.70000076
43.5,31.89999962,35.59999847,64,54.79999924,25.79999924
31.79999924,31.89999962,35.59999847,64,54.79999924,36.09999847
36.09999847,31.89999962,35.59999847,64,54.79999924,39.5
25.39999962,21.29999924,26.5,69.69999695,68.90000153,42.59999847
17.39999962,21.29999924,26.5,69.69999695,68.90000153,28.5
20.20000076,22.89999962,24.60000038,63.09999847,55.09999847,27.60000038
22.60000038,22.89999962,24.60000038,63.09999847,55.09999847,33.29999924
27.70000076,32.40000153,35.20000076,50.90000153,50.20000076,23
19.70000076,22.39999962,29.5,55.59999847,47.5,22.89999962
29.89999962,25.70000076,30.89999962,53.29999924,48.59999847,19.39999962
35.09999847,32,30.10000038,49.09999847,49.40000153,21.39999962
23.39999962,20.39999962,29.89999962,77.90000153,63.5,28.70000076
33.29999924,20.39999962,29.89999962,77.90000153,63.5,32.90000153
28.39999962,23.60000038,32.79999924,66.30000305,61.29999924,34
20.60000038,23.60000038,32.79999924,66.30000305,61.29999924,19.89999962
26.10000038,28.89999962,32.90000153,52.59999847,54.20000076,18.10000038
21,29.60000038,25.60000038,54.59999847,51.29999924,27.39999962
21.60000038,29.60000038,25.60000038,54.59999847,51.29999924,29.70000076
22.79999924,24.5,30.60000038,47,43.59999847,18.79999924
23.10000038,24.10000038,35.59999847,64.30000305,58.79999924,30.39999962
23.70000076,22.70000076,32.70000076,59,56.90000153,25
24.29999924,22.70000076,32.70000076,59,56.90000153,31.70000076
24.89999962,22.70000076,32.70000076,59,56.90000153,22.89999962
18.29999924,30.70000076,24.10000038,56.29999924,50.09999847,20.89999962
26.89999962,29.60000038,30.79999924,57.5,51.40000153,32.09999847
30.79999924,29.60000038,30.79999924,57.5,51.40000153,24.70000076
21.10000038,28.39999962,26.5,50.29999924,54.20000076,19.5
21.20000076,24.79999924,34.59999847,51.59999847,45.29999924,25.29999924
26.10000038,27.20000076,22.60000038,50.5,52.70000076,24.60000038
24.39999962,22.89999962,31.20000076,50.59999847,54,20.89999962
27.29999924,22.89999962,31.20000076,50.59999847,54,34.79999924
25.89999962,18.5,26.70000076,61.40000153,51.70000076,27.70000076
21.60000038,21.89999962,34.40000153,68.30000305,54.70000076,28.39999962
26.89999962,21.89999962,34.40000153,68.30000305,54.70000076,24.5
19.20000076,23.20000076,32.5,68.69999695,63.59999847,39.79999924
29.60000038,23.20000076,32.5,68.69999695,63.59999847,29
28.5,23.20000076,32.5,68.69999695,63.59999847,31.10000038
21.39999962,27.70000076,33.29999924,52.90000153,45,23.70000076
29.20000076,20.39999962,20.20000076,67.80000305,61.5,22.5
23.70000076,20.39999962,20.20000076,67.80000305,61.5,29.79999924
23.20000076,26.39999962,30.79999924,60.20000076,55,22.10000038
26.5,26.39999962,30.79999924,60.20000076,55,29.89999962
22.5,24.89999962,29.39999962,52.5,39.40000153,22.20000076
27.20000076,29.89999962,39.20000076,61.20000076,51.20000076,30.79999924
37,28.10000038,33.70000076,47.20000076,77.09999847,20.5
28.10000038,31.79999924,32.59999847,57.90000153,55.79999924,33.09999847
22.10000038,19.60000038,27.39999962,64.80000305,52.79999924,22
27.10000038,19.60000038,27.39999962,64.80000305,52.79999924,31.89999962
33.79999924,29,31.10000038,70.59999847,62.70000076,33.70000076
39.79999924,29,31.10000038,70.59999847,62.70000076,38.79999924
21.39999962,25.10000038,26.29999924,47.70000076,44.59999847,21.60000038
23.5,25.70000076,27.89999962,73.90000153,71.59999847,18.20000076
26.29999924,25.70000076,27.89999962,73.90000153,71.59999847,40.70000076
26,30.29999924,34.70000076,70.59999847,64.30000305,46.70000076
17,27.39999962,17.5,76.90000153,59.70000076,22.39999962
21.20000076,27.39999962,17.5,76.90000153,59.70000076,24.70000076
21.20000076,26.5,30.10000038,77.40000153,41.20000076,18.79999924
21.70000076,28.79999924,24.29999924,66.30000305,61,28.60000038
28,28.79999924,24.29999924,66.30000305,61,41.09999847
24.39999962,28.79999924,24.29999924,66.30000305,61,31.89999962
22.60000038,28.79999924,24.29999924,66.30000305,61,36.70000076
23.70000076,28.89999962,26.10000038,43.29999924,74.80000305,28
25.60000038,28.89999962,26.10000038,43.29999924,74.80000305,30.5
26.89999962,27,30.20000076,55.59999847,46.40000153,19.29999924
22.29999924,29.29999924,30.5,59,42.20000076,19
31,23.70000076,28,59.70000076,53.20000076,30.5
27.39999962,23.70000076,28,59.70000076,53.20000076,28.89999962
33,31.20000076,32,52.5,47.29999924,20.60000038
20.89999962,24,24.20000076,54.79999924,52.79999924,31.39999962
26.20000076,21,16.29999924,80.19999695,68.90000153,26.79999924
29.60000038,21,16.29999924,80.19999695,68.90000153,45.5
20.20000076,24.60000038,30.70000076,49.40000153,41.40000153,22.5
25.89999962,24,29.79999924,49.70000076,30.79999924,27.20000076
19.10000038,25.29999924,25.29999924,66.5,60.90000153,18.70000076
20.10000038,25.29999924,25.29999924,66.5,60.90000153,22.5
20.39999962,23.29999924,35.29999924,52.20000076,45.40000153,19.5
17.60000038,21.10000038,33.20000076,47.70000076,42.59999847,20.89999962
29.89999962,26,33.59999847,64.69999695,53.59999847,30.89999962
29.20000076,26,33.59999847,64.69999695,53.59999847,36.79999924
27.70000076,26,33.59999847,64.69999695,53.59999847,24.20000076
21,25.70000076,23,51.70000076,48.59999847,28.5
28.70000076,28,29.10000038,40.70000076,40,18.79999924
21.5,24.60000038,31.60000038,49.59999847,43,24.70000076
26.70000076,24.60000038,31.60000038,49.59999847,43,22
23.60000038,23.70000076,27.70000076,70,60.70000076,25.89999962
30,23.70000076,27.70000076,70,60.70000076,41.5
27,23.89999962,22.79999924,60.70000076,51.59999847,32.59999847
21.70000076,23.89999962,22.79999924,60.70000076,51.59999847,25.29999924
26.10000038,25.60000038,32.40000153,64.19999695,52.29999924,35
19.79999924,25.5,28.60000038,49,49.70000076,18.39999962
29.60000038,30.79999924,29.60000038,53.09999847,48.79999924,19
29.20000076,30.79999924,29.60000038,53.09999847,48.79999924,30.5
24.20000076,23.29999924,35.70000076,89.90000153,81,56.59999847
21.39999962,22.39999962,25.79999924,63.59999847,62.29999924,36.40000153
31.60000038,27,34.59999847,64.59999847,58.09999847,30.20000076
28.70000076,27,34.59999847,64.59999847,58.09999847,31.29999924
30,22.89999962,39.29999924,62,54,32.40000153
26.39999962,19.20000076,32.90000153,86.19999695,76.59999847,38
27.70000076,29.60000038,34.09999847,69.59999847,64.59999847,38.79999924
26.89999962,28.10000038,40.5,66.09999847,57.40000153,25
22.20000076,28.10000038,40.5,66.09999847,57.40000153,30.10000038
23.79999924,28.10000038,40.5,66.09999847,57.40000153,29.10000038
24.89999962,25.60000038,29.70000076,70.90000153,64.69999695,40.70000076
19,32.79999924,22.29999924,40.79999924,39.70000076,18.20000076
20.29999924,26.10000038,26.39999962,42.79999924,41.5,20
29.5,22.20000076,32.29999924,45.40000153,38.70000076,19
26.39999962,28.79999924,30.29999924,51.79999924,41.90000153,19.5
35.70000076,24.10000038,25,72.09999847,66.5,38.5
27.39999962,25.10000038,32.40000153,55.70000076,46.20000076,21.89999962
20.89999962,25.10000038,29.5,61.29999924,49.20000076,25
21.20000076,25.10000038,29.5,61.29999924,49.20000076,31.20000076
32.59999847,28.10000038,24.39999962,75.80000305,62.90000153,27.39999962
26.79999924,28.10000038,24.39999962,75.80000305,62.90000153,39.09999847
22.89999962,23.60000038,24.70000076,47.29999924,51,22.10000038
21.89999962,23.60000038,24.70000076,47.29999924,51,27.10000038
21.60000038,23.60000038,24.70000076,47.29999924,51,26.20000076
23.70000076,29.20000076,36.79999924,52,46.20000076,24.29999924
23.29999924,32.40000153,28.29999924,42.5,45.40000153,19.89999962
26.60000038,32.40000153,28.29999924,42.5,45.40000153,18.20000076
19.70000076,30.5,43,44.40000153,55.40000153,18.79999924
26.39999962,30.5,43,44.40000153,55.40000153,22
33.09999847,23,34.79999924,44.70000076,36.20000076,18.10000038
22.20000076,24.60000038,26.39999962,63.5,56.29999924,31.10000038
25.10000038,24.70000076,35.79999924,47.29999924,46.09999847,18.70000076
29.39999962,33.90000153,28.70000076,44.59999847,39.29999924,20.70000076
32,27.39999962,29.89999962,53.70000076,52.09999847,31.20000076
22.29999924,25.5,29.79999924,44.09999847,35.09999847,18.60000038
31.39999962,33.70000076,33.20000076,43.5,41.29999924,18.79999924
31.10000038,16.70000076,29.60000038,92.09999847,82.90000153,48.90000153
25.29999924,33.29999924,35.70000076,58.70000076,52.79999924,18.20000076
19.10000038,29.79999924,21,50.90000153,53.90000153,19.70000076
21.29999924,29.79999924,21,50.90000153,53.90000153,21.39999962
33.59999847,34.59999847,29.70000076,52.40000153,50.79999924,18.29999924
21.5,38.29999924,24.29999924,41,43.40000153,19.10000038
25.89999962,27,26,72,52.90000153,29.79999924
21.10000038,21.20000076,32.59999847,66.90000153,60.79999924,23.89999962
23.10000038,21.20000076,32.59999847,66.90000153,60.79999924,25.79999924
28,26.10000038,27.70000076,57.90000153,44.29999924,19.39999962
23.70000076,31.89999962,30.10000038,43.09999847,40.90000153,23.70000076
25.20000076,22.10000038,21,51.59999847,55.70000076,18
30.5,31.60000038,29.60000038,45.70000076,46.90000153,19.70000076
24.79999924,33.29999924,31.39999962,67.09999847,46.70000076,26.70000076
22.60000038,30.39999962,23.60000038,47.90000153,43.29999924,24.89999962
20.89999962,30.39999962,23.60000038,47.90000153,43.29999924,21.70000076
20.89999962,23.20000076,31.29999924,61.29999924,57.29999924,24.79999924
20.79999924,25.20000076,26.20000076,41.09999847,35.70000076,18.20000076
27.60000038,32.59999847,32,44.40000153,44.40000153,20.70000076
28,30,31.10000038,52.29999924,50.90000153,27.79999924
19.5,20.29999924,31.10000038,45.5,43.40000153,22.70000076
27.39999962,34.40000153,32.5,48.59999847,50.5,19.60000038
26.29999924,23.39999962,22.29999924,60.70000076,68.80000305,30.5
22.5,22.10000038,26.5,55.20000076,47.79999924,23.79999924
